COMPLAINT_NUMBER,BEAT,STREET,INCIDENT_TIME_START,ADDRESS,DB_BEAT,DB_STREET,DB_INCIDENT_TIME_START,DB_ADDRESS
1072050,1831,CHICAGO AVE,2013-08-25 17:10:00,545,1831,W CHICAGO AVE,2014-08-25 17:10:00,545
1062934,1513,PARKSIDE AVE,2011-05-07 23:35:00,57,1513,N PARKSIDE AVE,2013-05-07 23:35:00,
1060099,2211,ARTESIAN AVE,2010-12-31 01:20:00,10207,2212,W 103RD ST,2013-02-12 17:07:00,1933
1071782,1022,TROY ST,2014-09-30 23:00:00,1900,1022,S TROY ST,2014-09-20 23:00:00,1900
1075644,1532,WEST END AVE,2015-06-12 00:59:59,5054,1532,W WEST END AVE,2015-06-15 01:00:00,5054
1054821,2413,SACRAMENTO AVE,2012-08-06 15:39:00,6200,2413,,2012-06-16 00:00:00,
1068594,713,63RD ST,2014-04-15 00:39:00,1438,0933,S LAFLIN ST,2014-04-02 11:00:00,5009
1065145,1723,LAWNDALE AVE,2011-09-11 00:00:00,4404,1723,N LAWNDALE AVE,2013-09-11 00:00:00,4404
1058315,1935,DEMING PL,2011-06-20 12:38:00,670,1935,W DEMING PL,2012-06-20 12:38:00,670
1058968,1022,KEDZIE AVE,2011-11-28 00:01:00,1511,1022,,2012-11-28 00:00:00,
1067209,3100,MILWAUKEE AVE,2014-01-25 15:59:59,7411,1621,,2014-01-22 12:15:00,
1066253,725,MARSHFIELD AVE,2012-10-03 11:25:00,6319,0725,S MARSHFIELD AVE,2013-10-03 11:25:00,6319
1058866,2024,LAWRENCE AVE,2011-12-03 22:02:59,1010,2024,W LAWRENCE AVE,2012-12-03 22:03:00,1010
1059416,331,OGLESBY AVE,2012-02-05 20:45:00,6830,0331,S OGLESBY AVE,2012-02-09 20:45:00,6830
1064422,1014,MILLARD AVE,2013-03-08 09:24:59,1845,1014,S MILLARD AVE,2013-03-03 09:25:00,1845
1062935,1623,MILWAUKEE AVE,2012-06-16 12:58:00,5151,1722,W LELAND AVE,2013-06-16 12:58:00,4334
1059072,111,STATE ST,2012-12-05 14:25:00,201,,,2012-12-17 00:00:00,
1056759,731,74TH ST,2012-08-31 21:14:00,159,0731,,2012-07-31 00:00:00,
1062986,1421,CALIFORNIA AVE,2013-06-18 20:00:00,1600,1421,N CALIFORNIA AVE,2012-06-19 20:00:00,1600
1072147,1114,LAKE ST,2014-03-26 19:28:00,4001,1132,W ROOSEVELT RD,2013-12-26 16:39:00,3910
1072795,912,WOOD ST,2014-12-01 21:32:00,3536,0912,,2014-11-28 08:00:00,
1073326,621,79TH ST,2013-01-01 01:34:59,437,0621,W 79TH ST,2015-01-01 01:35:00,437
1067164,2532,DIVISION ST,2011-12-31 00:00:00,5400,0122,W ADAMS ST,2013-12-31 00:00:00,300
1053608,524,JUSTINE ST,2012-04-04 15:59:59,12138,0524,,2012-04-22 00:00:00,
1061511,531,ELLIS AVE,2013-04-02 09:11:59,11200,0531,S ELLIS AVE,2013-04-11 00:00:00,11200
1054894,412,SOUTH CHICAGO AVE,2011-08-30 02:00:00,8502,0412,S SOUTH CHICAGO AVE,2011-08-20 00:00:00,8502
1066526,1135,FRANCISCO AVE,2012-04-10 21:43:00,1123,1135,S FRANCISCO AVE,2013-04-10 21:43:00,1123
1069163,734,LOOMIS BLVD,2014-04-14 11:00:00,6900,0734,S LOOMIS BLVD,2014-05-14 11:00:00,6900
1061891,613,82ND ST,2013-05-01 10:30:00,1117,0613,W 82ND ST,2013-03-01 10:30:00,1117
1072529,2232,ELIZABETH ST,2012-10-24 21:00:00,10300,2232,S ELIZABETH ST,2014-10-24 21:00:00,10300
1065108,1924,HALSTED ST,2013-09-24 01:30:00,3458,1923,N HALSTED ST,2013-09-21 01:30:00,3600
