CRID,Involved_Officer,FOIA_Request_Number,Report_Produced_Date
1066725,"PROANO, MARCO",FOIA 15-6588,2016-01-12
1065714,"CAVANAUGH, RONALD",FOIA 15-6588,2016-01-12
1065582,"DZIELAK, MICHELLE",FOIA 15-6588,2016-01-12
1063442,"DOMIO, MALCOLM",FOIA 15-6588,2016-01-12
1063442,"HURLEY, AMY",FOIA 15-6588,2016-01-12
1063442,"JEFFERSON, KAREN",FOIA 15-6588,2016-01-12
1063442,"SHEPARD, MICHAEL",FOIA 15-6588,2016-01-12
1063442,"SMOLEK, MARLENE",FOIA 15-6588,2016-01-12
1063442,"WEBB, MAUREEN",FOIA 15-6588,2016-01-12
1063127,"BEAVERS JR, JAMES",FOIA 15-6588,2016-01-12
1063127,"CORNELL, VINCENT",FOIA 15-6588,2016-01-12
1060762,"LAWRYN, SHAWN",FOIA 15-6588,2016-01-12
1060762,"MARTINEZ, JUAN",FOIA 15-6588,2016-01-12
1058573,"MANGUERRA, GLENN",FOIA 15-6588,2016-01-12
1058573,"MC INERNEY, JOSEPH",FOIA 15-6588,2016-01-12
1058420,"ADLER, TRACY",FOIA 15-6588,2016-01-12
1058420,"CAMARILLO JR, RODOLFO",FOIA 15-6588,2016-01-12
1058420,"GREGOIRE, JOHN",FOIA 15-6588,2016-01-12
1058420,"JAMES, DORIAN",FOIA 15-6588,2016-01-12
1058420,"LARSON, ANDREW",FOIA 15-6588,2016-01-12
1058420,"WOODS, STEPHEN",FOIA 15-6588,2016-01-12
1058279,"TERNAND, BRANDON",FOIA 15-6588,2016-01-12
1058077,"MACIAS, VINCE",FOIA 15-6588,2016-01-12
1057079,"BYRNE, JOSEPH",FOIA 15-6588,2016-01-12
1057079,"SKARUPINSKI, CHRIS",FOIA 15-6588,2016-01-12
1056803,"CLINTON, SHANTELL",FOIA 15-6588,2016-01-12
1056803,"EARNEST, EVONA",FOIA 15-6588,2016-01-12
1056803,"ERMON, TIFFANY",FOIA 15-6588,2016-01-12
1056803,"PHILLIPS III, CECIL",FOIA 15-6588,2016-01-12
1052816,"MCGRONE, MARCUS",FOIA 15-6588,2016-01-12
1052816,"MEEKS, TIFFANY",FOIA 15-6588,2016-01-12
1052578,"CIFUENTES, JUAN",FOIA 15-6588,2016-01-12
1052578,"JONES, CALVIN",FOIA 15-6588,2016-01-12
1052578,"PETRENKO, THOMAS",FOIA 15-6588,2016-01-12
1052578,"RUIZ, ROLANDO",FOIA 15-6588,2016-01-12
1052578,"TORRES, MIGUEL",FOIA 15-6588,2016-01-12
1050919,"BELMONTES, JUAN",FOIA 15-6588,2016-01-12
1050919,"CABRAL, ALEJANDRO",FOIA 15-6588,2016-01-12
1050919,"HERNANDEZ, ROBERT",FOIA 15-6588,2016-01-12
1042532,"MOSQUEDA, RAOUL",FOIA 15-6588,2016-01-12
1042532,"SIERRA, GILDARDO",FOIA 15-6588,2016-01-12
1035057,"HEYDEN II, PAUL",FOIA 15-6588,2016-01-12
1034859,"DALY, EDMUND",FOIA 15-6588,2016-01-12
1034859,"VIEYRA, CARLOS",FOIA 15-6588,2016-01-12
1032871,"KENNEDY, JOHN",FOIA 15-6588,2016-01-12
1032871,"LANDRUM, JASON",FOIA 15-6588,2016-01-12
1027884,"GARZA, DAVID",FOIA 15-6588,2016-01-12
1022081,"CADMAN, MATHEW",FOIA 15-6588,2016-01-12
1022081,"MOLESKY, KENNETH",FOIA 15-6588,2016-01-12
1021311,"OSHAUGHNESSY, THOMAS",FOIA 15-6588,2016-01-12
1021184,"DALY, CHARLES",FOIA 15-6588,2016-01-12
1017636,"DIAZ, JOSHUA",FOIA 15-6588,2016-01-12
1017636,"LEHNER, WILLIAM",FOIA 15-6588,2016-01-12
1017574,"OCHOA, JOSE",FOIA 15-6588,2016-01-12
1017574,"TORRES, LOUIS",FOIA 15-6588,2016-01-12
1017574,"WRIGHT, MARCHAND",FOIA 15-6588,2016-01-12
1015185,"LASKA, JAMES",FOIA 15-6588,2016-01-12
1015086,"O NEILL, EDWARD",FOIA 15-6588,2016-01-12
1009675,"BROWNFIELD, CRAIG",FOIA 15-6588,2016-01-12
1009675,"HANRAHAN, RICHARD",FOIA 15-6588,2016-01-12
1008672,"FRY, KEVIN",FOIA 15-6588,2016-01-12
1008672,"SHRAKE, MICHAEL",FOIA 15-6588,2016-01-12
1008617,"SCUDELLA, ANDREW",FOIA 15-6588,2016-01-12
1007605,"PETTIS, MICHAEL",FOIA 15-6588,2016-01-12
1006745,"FIGUEROA, EDDIE",FOIA 15-6588,2016-01-12
1006443,"BONE, HAROLD",FOIA 15-6588,2016-01-12
1005889,"LANGLE, WILLIAM",FOIA 15-6588,2016-01-12
1003767,"HURMAN, ANDREW",FOIA 15-6588,2016-01-12
1003767,"JEROME, DON",FOIA 15-6588,2016-01-12
1003367,"MEDINA, DEBI",FOIA 15-6588,2016-01-12
1003367,"SMITH, AMANDA",FOIA 15-6588,2016-01-12
1003367,"SNETHEN, DAVID",FOIA 15-6588,2016-01-12
1002897,"MC DONALD, KEVIN",FOIA 15-6588,2016-01-12
1002897,"PALENIK, DANIEL",FOIA 15-6588,2016-01-12
1001874,"NUNEZ, FELIPE",FOIA 15-6588,2016-01-12
1001874,"RHEIN, CHARLES",FOIA 15-6588,2016-01-12
1001874,"TENTON, CHRISTOPH",FOIA 15-6588,2016-01-12
1001699,"YOUSIF, EVAN",FOIA 15-6588,2016-01-12
1001651,"MCFADDEN, JASON",FOIA 15-6588,2016-01-12
1000905,"BOCARDO, MICHAEL",FOIA 15-6588,2016-01-12
1000905,"BUSH, GARY",FOIA 15-6588,2016-01-12
1000905,"DINEEN, THOMAS",FOIA 15-6588,2016-01-12
1000905,"GADE JR, LAWRENCE",FOIA 15-6588,2016-01-12
1000905,"GORMAN, JOSEPH",FOIA 15-6588,2016-01-12
1000905,"LARA, ILDEFONSO",FOIA 15-6588,2016-01-12
1000905,"LOPEZ, JOSE",FOIA 15-6588,2016-01-12
1000905,"ROBERTS, JOHN",FOIA 15-6588,2016-01-12
1000905,"SANCHEZ, JAMES",FOIA 15-6588,2016-01-12
1000905,"TROCHE, RANDY",FOIA 15-6588,2016-01-12
1000343,"STOLL, KEVIN",FOIA 15-6588,2016-01-12
1000341,"BOND, LAWRENCE",FOIA 15-6588,2016-01-12
1076963,"MARKHAM, DONALD",FOIA 15-6588,2016-01-12
1076296,"HAMPTON, SHARLYN",FOIA 15-6588,2016-01-12
1072859,"WILLINGHAM, RUSSELL",FOIA 15-6588,2016-01-12
1067730,"JOHNSON, DARRELL",FOIA 15-6588,2016-01-12
1063273,"WILKERSON, KRISTIE",FOIA 15-6588,2016-01-12
1061146,"NEAL, EDGAR",FOIA 15-6588,2016-01-12
1060007,"HEALY, RYAN",FOIA 15-6588,2016-01-12
1045186,"WEEMS, ALVIN",FOIA 15-6588,2016-01-12
1040868,"BADUS, CHRISTINA",FOIA 15-6588,2016-01-12
1012612,"LORENZ, MARK",FOIA 15-6588,2016-01-12
1009346,"GARZA, MANUEL",FOIA 15-6588,2016-01-12
1005597,"BADY, CRAIG",FOIA 15-6588,2016-01-12
1003119,"BURNS, ADAM",FOIA 15-6588,2016-01-12
1000133,"DEL RIVERO, SAUL",FOIA 15-6588,2016-01-12
1078099,"CALLAHAN, MICHAEL",FOIA 15-6588,2016-01-12
1077848,"METTE, MICHAEL",FOIA 15-6588,2016-01-12
1077848,"NAJM, SEAN",FOIA 15-6588,2016-01-12
1077467,"PEDRAZA JR, JOSE",FOIA 15-6588,2016-01-12
1077435,"NAVARRO, ALVARO",FOIA 15-6588,2016-01-12
1077435,"SAMPIM, SAHARAT",FOIA 15-6588,2016-01-12
1077419,"NIGRO, RICK",FOIA 15-6588,2016-01-12
1077396,"WAGNER, MICHAEL",FOIA 15-6588,2016-01-12
1077348,"PATEL, NIMESH",FOIA 15-6588,2016-01-12
1077162,"LEE, GEROLD",FOIA 15-6588,2016-01-12
1077087,"TURNER, DEJUAN",FOIA 15-6588,2016-01-12
1077004,"ESCOBEDO, LUIS",FOIA 15-6588,2016-01-12
1076544,"CALLAHAN, MICHAEL",FOIA 15-6588,2016-01-12
1076349,"DELGADO, JESUS",FOIA 15-6588,2016-01-12
1076191,"PRUGER, ROCCO",FOIA 15-6588,2016-01-12
1075524,"IZA, FRANCISCO",FOIA 15-6588,2016-01-12
1075238,"MONTESDEOCA, JESUS",FOIA 15-6588,2016-01-12
1075238,"VARGAS, ARTEMIO",FOIA 15-6588,2016-01-12
1074488,"STREEPER, JASON",FOIA 15-6588,2016-01-12
1074468,"BOLIN, RICHARD",FOIA 15-6588,2016-01-12
1074390,"DIALLO, SALIOU",FOIA 15-6588,2016-01-12
1073710,"WADE, MARCUS",FOIA 15-6588,2016-01-12
1073391,"HOLLIDAY, DAVID",FOIA 15-6588,2016-01-12
1073176,"BINGAMAN, KYLE",FOIA 15-6588,2016-01-12
1073176,"ROBERTSON, THOMAS",FOIA 15-6588,2016-01-12
1073091,"ROSEN, ANTHONY",FOIA 15-6588,2016-01-12
1073091,"SERRATO JR, REYNALDO",FOIA 15-6588,2016-01-12
1072911,"DESAI, RISHI",FOIA 15-6588,2016-01-12
1072911,"GREENWOOD, DAVID",FOIA 15-6588,2016-01-12
1072638,"PEREZ, JASON",FOIA 15-6588,2016-01-12
1072574,"MAYHEW, MICHAEL",FOIA 15-6588,2016-01-12
1072331,"TERNAND, BRANDON",FOIA 15-6588,2016-01-12
1072056,"WATSON, DAVID",FOIA 15-6588,2016-01-12
1071894,"GORMAN, THOMAS",FOIA 15-6588,2016-01-12
1071894,"MURPHY, BRANDON",FOIA 15-6588,2016-01-12
1071894,"ROSS, CHRISTOPH",FOIA 15-6588,2016-01-12
1071798,"KELNOSKY, STEVEN",FOIA 15-6588,2016-01-12
1071510,"VAZQUEZ, DANIEL",FOIA 15-6588,2016-01-12
1071413,"BROGSDALE, MALCOLM",FOIA 15-6588,2016-01-12
1071348,"ORTIZ-CLAUDIO, SUSIE",FOIA 15-6588,2016-01-12
1070951,"PEREZ, GERARDO",FOIA 15-6588,2016-01-12
1070840,"CRUZ, GAIL",FOIA 15-6588,2016-01-12
1070748,"MORRIS, LASHON",FOIA 15-6588,2016-01-12
1070443,"CORTES, JOSE",FOIA 15-6588,2016-01-12
1070253,"HALEEM, MAHMOUD",FOIA 15-6588,2016-01-12
1070187,"DOMER, EMILE",FOIA 15-6588,2016-01-12
1070187,"VAZQUEZ, MARIA",FOIA 15-6588,2016-01-12
1070019,"MUELLER, TODD",FOIA 15-6588,2016-01-12
1069653,"BORYS, PAWEL",FOIA 15-6588,2016-01-12
1069653,"KAZARNOWICZ, MARCIN",FOIA 15-6588,2016-01-12
1069560,"LICHAY, KENNETH",FOIA 15-6588,2016-01-12
1069560,"WOLFE, RAMA",FOIA 15-6588,2016-01-12
1069414,"MCDONNELL, MARTIN",FOIA 15-6588,2016-01-12
1069396,"PONTO, JAMES",FOIA 15-6588,2016-01-12
1069396,"SOJKA, GREGORY",FOIA 15-6588,2016-01-12
1069394,"PONTO, JAMES",FOIA 15-6588,2016-01-12
1069394,"SOJKA, GREGORY",FOIA 15-6588,2016-01-12
1069393,"MEROLA, DOMINIC",FOIA 15-6588,2016-01-12
1069251,"KRAUSHAAR, JEFFREY",FOIA 15-6588,2016-01-12
1069194,"WHITE, ANTON",FOIA 15-6588,2016-01-12
1068139,"DOOLIN, WILLIAM",FOIA 15-6588,2016-01-12
1068139,"VASSELLI, NICHOLAS",FOIA 15-6588,2016-01-12
1068025,"SHRAKE, MICHAEL",FOIA 15-6588,2016-01-12
1068025,"SMITH, ANGELINA",FOIA 15-6588,2016-01-12
1068021,"SHRAKE, MICHAEL",FOIA 15-6588,2016-01-12
1068021,"SMITH, ANGELINA",FOIA 15-6588,2016-01-12
1067333,"DOMIO, MALCOLM",FOIA 15-6588,2016-01-12
1067333,"SHEPARD, MICHAEL",FOIA 15-6588,2016-01-12
1067268,"KELYANA, JOHN",FOIA 15-6588,2016-01-12
1066554,"GARZA, RUDOLPH",FOIA 15-6588,2016-01-12
1066231,"HEAD, LEATRICE",FOIA 15-6588,2016-01-12
1066144,"PERDUE, DENNY",FOIA 15-6588,2016-01-12
1065368,"MATYSIAK, ZUZANNA",FOIA 15-6588,2016-01-12
1065368,"RAMIREZ, VERONICA",FOIA 15-6588,2016-01-12
1065208,"ORTIZ, WILFREDO",FOIA 15-6588,2016-01-12
1065045,"GROBNER, DARREN",FOIA 15-6588,2016-01-12
1064735,"NIGRO, RICK",FOIA 15-6588,2016-01-12
1064307,"KEETER, JOSEPH",FOIA 15-6588,2016-01-12
1063326,"MORGAN, NOEL",FOIA 15-6588,2016-01-12
1063201,"HACKETT, CHRIS",FOIA 15-6588,2016-01-12
1062955,"MCCALLUM, RICHARD",FOIA 15-6588,2016-01-12
1062843,"LUEVANO, FRANCISCO",FOIA 15-6588,2016-01-12
1062791,"GAMEZ, ISRAEL",FOIA 15-6588,2016-01-12
1062791,"MOORE JR, LOUIS",FOIA 15-6588,2016-01-12
1062388,"MALONE, NICHOLAS",FOIA 15-6588,2016-01-12
1062177,"BURG, KYLE",FOIA 15-6588,2016-01-12
1062177,"PONIATOWSKI, DANIEL",FOIA 15-6588,2016-01-12
1062177,"SCADUTO, BRADLEY",FOIA 15-6588,2016-01-12
1061921,"JOHNSON, COURTNEY",FOIA 15-6588,2016-01-12
1060840,"VAUGHAN, LESTER",FOIA 15-6588,2016-01-12
1060840,"WRIGHT, MARCHAND",FOIA 15-6588,2016-01-12
1060612,"CHESNA, JAMIE",FOIA 15-6588,2016-01-12
1060585,"CHESNA, JAMIE",FOIA 15-6588,2016-01-12
1060463,"MOSER, EDWARD",FOIA 15-6588,2016-01-12
1060132,"TURNEY, MICHELLE",FOIA 15-6588,2016-01-12
1059768,"GARCIA, ADOLPHO",FOIA 15-6588,2016-01-12
1059768,"SCHMID, STEVE",FOIA 15-6588,2016-01-12
1059635,"PEREZ, JUAN",FOIA 15-6588,2016-01-12
1059475,"TORRES, MARCO",FOIA 15-6588,2016-01-12
1059304,"WILLIAMS, TRACEY",FOIA 15-6588,2016-01-12
1059236,"TEJADA, OSWALDO",FOIA 15-6588,2016-01-12
1059193,"BARSCH, STEVE",FOIA 15-6588,2016-01-12
1059193,"VAHL, ROBERT",FOIA 15-6588,2016-01-12
1059189,"SANTIAGO, CHISA",FOIA 15-6588,2016-01-12
1059167,"MURPHY, BARTHOLOM",FOIA 15-6588,2016-01-12
1058942,"BELTRAN, EDUARDO",FOIA 15-6588,2016-01-12
1058492,"SANTIAGO, ANTHONY",FOIA 15-6588,2016-01-12
1058061,"BOYD, STEPHEN",FOIA 15-6588,2016-01-12
1058061,"SANCHEZ, RUBEN",FOIA 15-6588,2016-01-12
1057998,"BREIER, NICHOLAS",FOIA 15-6588,2016-01-12
1057747,"ADAMIAK, SIMON",FOIA 15-6588,2016-01-12
1057747,"STEVENS, PETER",FOIA 15-6588,2016-01-12
1057610,"REIDY, BRIAN",FOIA 15-6588,2016-01-12
1057609,"WILLIS, DANIEL",FOIA 15-6588,2016-01-12
1057605,"REIDY, BRIAN",FOIA 15-6588,2016-01-12
1057383,"BARTEL, JEFF",FOIA 15-6588,2016-01-12
1057383,"SWAIN, MATTHEW",FOIA 15-6588,2016-01-12
1057084,"TERESI, MARTIN",FOIA 15-6588,2016-01-12
1056966,"FIGUEROA, EDDIE",FOIA 15-6588,2016-01-12
1056966,"GALLARDO, SAUL",FOIA 15-6588,2016-01-12
1056789,"PEREZ, ARMANDO",FOIA 15-6588,2016-01-12
1056626,"CYGNAR, BRIAN",FOIA 15-6588,2016-01-12
1056491,"RAZO, VICTOR",FOIA 15-6588,2016-01-12
1056491,"TERNAND, BRANDON",FOIA 15-6588,2016-01-12
1056390,"WILLIAMS, TRACEY",FOIA 15-6588,2016-01-12
1056157,"MOSQUEDA, RAOUL",FOIA 15-6588,2016-01-12
1055931,"ALI, MOHAMMED",FOIA 15-6588,2016-01-12
1055687,"LEE, DURAND",FOIA 15-6588,2016-01-12
1055465,"GONZALEZ, LUIS",FOIA 15-6588,2016-01-12
1055434,"WILLIAMS, TRACEY",FOIA 15-6588,2016-01-12
1055194,"BELMONTES, JUAN",FOIA 15-6588,2016-01-12
1054961,"KANE, BRIAN",FOIA 15-6588,2016-01-12
1054783,"BAKER, MICHAEL",FOIA 15-6588,2016-01-12
1054783,"MATLOCK, ZEYAD",FOIA 15-6588,2016-01-12
1054783,"ROMERO, MIGUEL",FOIA 15-6588,2016-01-12
1054596,"MARTORANO, JOSEPH",FOIA 15-6588,2016-01-12
1054449,"DUCKINS, JESSICA",FOIA 15-6588,2016-01-12
1054264,"JOHNSON, MARK",FOIA 15-6588,2016-01-12
1054251,"HICKS, ERROL",FOIA 15-6588,2016-01-12
1054251,"MARTINEZ, JAIR",FOIA 15-6588,2016-01-12
1053897,"MIUCIN, ZORAN",FOIA 15-6588,2016-01-12
1053766,"EVANS, TODD",FOIA 15-6588,2016-01-12
1053766,"GOLDIE, RYAN",FOIA 15-6588,2016-01-12
1053766,"SAVICKAS, CHRIST",FOIA 15-6588,2016-01-12
1053766,"TORRES JR, AGUSTIN",FOIA 15-6588,2016-01-12
1053743,"STRAZZANTE, PHILIP",FOIA 15-6588,2016-01-12
1053311,"ROLLINS, TERRANCE",FOIA 15-6588,2016-01-12
1053070,"MURILLO, VERONICA",FOIA 15-6588,2016-01-12
1053065,"CRAVENS, DANIEL",FOIA 15-6588,2016-01-12
1053065,"MUHAMMAD, EMANUEL",FOIA 15-6588,2016-01-12
1052862,"MATLOCK, ZEYAD",FOIA 15-6588,2016-01-12
1052686,"PEARSON, DEL",FOIA 15-6588,2016-01-12
1052549,"CASTILLO, DIEGO",FOIA 15-6588,2016-01-12
1052502,"WHITE, AVIS",FOIA 15-6588,2016-01-12
1052400,"PAYNE, LEON",FOIA 15-6588,2016-01-12
1052287,"PORTIS, VICTOR",FOIA 15-6588,2016-01-12
1052124,"OLSEN, DONALD",FOIA 15-6588,2016-01-12
1052123,"OLSEN, DONALD",FOIA 15-6588,2016-01-12
1051532,"BERAN, TIMOTHY",FOIA 15-6588,2016-01-12
1050899,"ORKOWSKI, JAYSEN",FOIA 15-6588,2016-01-12
1050853,"PATTERSON, ALFIE",FOIA 15-6588,2016-01-12
1050700,"ANDAVERDE, FEDERICO",FOIA 15-6588,2016-01-12
1050643,"FONDA, DAVID",FOIA 15-6588,2016-01-12
1050601,"WILLIAMS, CRAIG",FOIA 15-6588,2016-01-12
1050543,"HELSON, ERIC",FOIA 15-6588,2016-01-12
1050543,"HOZZIAN, JOANNE",FOIA 15-6588,2016-01-12
1050542,"GALASSI, ROBERT",FOIA 15-6588,2016-01-12
1050542,"HELSON, ERIC",FOIA 15-6588,2016-01-12
1050542,"HOZZIAN, JOANNE",FOIA 15-6588,2016-01-12
1050456,"GROBLA, MAREK",FOIA 15-6588,2016-01-12
1050456,"PUCILLO, ROBERT",FOIA 15-6588,2016-01-12
1050432,"BLACKBURN, DARRION",FOIA 15-6588,2016-01-12
1050432,"BUCKNER, NYERE",FOIA 15-6588,2016-01-12
1050432,"PAYNE, LEON",FOIA 15-6588,2016-01-12
1050432,"RULE, MICHAEL",FOIA 15-6588,2016-01-12
1050343,"LANDRUM, JASON",FOIA 15-6588,2016-01-12
1049984,"NEALS, GERALD",FOIA 15-6588,2016-01-12
1049984,"TORRES, ROMAN",FOIA 15-6588,2016-01-12
1049648,"FERNANDEZ, JOSEPH",FOIA 15-6588,2016-01-12
1049459,"MATLOB, KENNETH",FOIA 15-6588,2016-01-12
1049198,"CIFUENTES, JUAN",FOIA 15-6588,2016-01-12
1048384,"ROBINSON, THOMAS",FOIA 15-6588,2016-01-12
1048263,"MYLES, NATHANIEL",FOIA 15-6588,2016-01-12
1048154,"HICKS, ERROL",FOIA 15-6588,2016-01-12
1048154,"SCUDELLA, ANDREW",FOIA 15-6588,2016-01-12
1047415,"ORTIZ, PEDRO",FOIA 15-6588,2016-01-12
1047360,"WELLS, OTIS",FOIA 15-6588,2016-01-12
1047342,"MAYHEW, MICHAEL",FOIA 15-6588,2016-01-12
1047326,"BLACKBURN, DARRION",FOIA 15-6588,2016-01-12
1047326,"BUCKNER, NYERE",FOIA 15-6588,2016-01-12
1047326,"HOPKINS, TERRY",FOIA 15-6588,2016-01-12
1047326,"PAYNE, LEON",FOIA 15-6588,2016-01-12
1047323,"CABRALES, JUAN",FOIA 15-6588,2016-01-12
1047185,"GAINES, MICHAEL",FOIA 15-6588,2016-01-12
1047185,"WHITE, NICHOLAS",FOIA 15-6588,2016-01-12
1047055,"DELVALLE, RUBEN",FOIA 15-6588,2016-01-12
1047055,"FRIEDLIEB, JEFFREY",FOIA 15-6588,2016-01-12
1047012,"GRABER, DENNIS",FOIA 15-6588,2016-01-12
1046993,"MC CRAY, DAVID",FOIA 15-6588,2016-01-12
1046973,"GONZALEZ, ROBERT",FOIA 15-6588,2016-01-12
1046944,"MURPHY, GERARD",FOIA 15-6588,2016-01-12
1046906,"MEEKS, TIFFANY",FOIA 15-6588,2016-01-12
1046782,"CARNEY JR, MAXIE",FOIA 15-6588,2016-01-12
1046659,"CUNNINGHAM, AARON",FOIA 15-6588,2016-01-12
1046523,"WILLIAMS, CRAIG",FOIA 15-6588,2016-01-12
1046359,"LAUBER, PAUL",FOIA 15-6588,2016-01-12
1046241,"ZAVALA, WENSESLAO",FOIA 15-6588,2016-01-12
1046113,"ELLITCH, RAYMOND",FOIA 15-6588,2016-01-12
1046113,"JANKOWSKI, RICHARD",FOIA 15-6588,2016-01-12
1046113,"MEROLA, DOMINIC",FOIA 15-6588,2016-01-12
1046113,"PORRATA, ALVIN",FOIA 15-6588,2016-01-12
1046113,"RIGAN, KRISTOPHE",FOIA 15-6588,2016-01-12
1046112,"AGUIRRE, PABLO",FOIA 15-6588,2016-01-12
1046112,"BELCIK, TIMOTHY",FOIA 15-6588,2016-01-12
1046112,"CARO, RICHARD",FOIA 15-6588,2016-01-12
1046112,"DIBLICH, MATTHEW",FOIA 15-6588,2016-01-12
1046112,"JAGLARSKI, STEVEN",FOIA 15-6588,2016-01-12
1046112,"LASKUS, DAVID",FOIA 15-6588,2016-01-12
1046112,"RAMOS, FRANCIS",FOIA 15-6588,2016-01-12
1046112,"SOLIS JR., PEDRO",FOIA 15-6588,2016-01-12
1046112,"VASSELLI, EMMA",FOIA 15-6588,2016-01-12
1045612,"INZERRA, MAURIZIO",FOIA 15-6588,2016-01-12
1045612,"ZARBOCK, NICK",FOIA 15-6588,2016-01-12
1045541,"CARROLL, STEVEN",FOIA 15-6588,2016-01-12
1045541,"MORGAN, NOEL",FOIA 15-6588,2016-01-12
1045107,"WEATHERLY, BOBBY",FOIA 15-6588,2016-01-12
1044798,"MC NAUGHTON, MARTIN",FOIA 15-6588,2016-01-12
1044629,"HUTCHINSON, CLAYTON",FOIA 15-6588,2016-01-12
1044399,"BURZINSKI, STEPHEN",FOIA 15-6588,2016-01-12
1044233,"ORLANDO, PHILLIP",FOIA 15-6588,2016-01-12
1044189,"SHIELDS, TERRENCE",FOIA 15-6588,2016-01-12
1044054,"MUSHOL, DENNIS",FOIA 15-6588,2016-01-12
1043848,"ALANIZ, MICHAEL",FOIA 15-6588,2016-01-12
1043808,"CAMARILLO, ANDREW",FOIA 15-6588,2016-01-12
1043808,"LEAHY, BRIAN",FOIA 15-6588,2016-01-12
1043808,"MURPHY, JOHN",FOIA 15-6588,2016-01-12
1043808,"PEREZ, GERARDO",FOIA 15-6588,2016-01-12
1043680,"DEL OLMO, EDGAR",FOIA 15-6588,2016-01-12
1043680,"ZAVALA, WENSESLAO",FOIA 15-6588,2016-01-12
