CRID,Officer_Witness,FOIA_Request_Number,Report_Produced_Date
1072855,"RAMIREZ JR, ANTONIO",FOIA 15-6588,2016-01-12
1072342,"MASETH, ADAM",FOIA 15-6588,2016-01-12
1072342,"SCHMIDT, RICHARD",FOIA 15-6588,2016-01-12
1072342,"TORRES, ROMAN",FOIA 15-6588,2016-01-12
1072297,"PONIATOWSKI, DANIEL",FOIA 15-6588,2016-01-12
1071970,"ARIF-ABRAHAM, FATIMA",FOIA 15-6588,2016-01-12
1071970,"CALVIN, SHAREN",FOIA 15-6588,2016-01-12
1071970,"COSTELLO, MICHAEL",FOIA 15-6588,2016-01-12
1071970,"GILLIANA, BARBARA",FOIA 15-6588,2016-01-12
1071970,"GONZALEZ, ROBERT",FOIA 15-6588,2016-01-12
1071970,"HOOPER, PHILLIP",FOIA 15-6588,2016-01-12
1071970,"HURT, TAJUANA",FOIA 15-6588,2016-01-12
1071970,"JONES, CONRAY",FOIA 15-6588,2016-01-12
1071970,"LEANO, MANUEL",FOIA 15-6588,2016-01-12
1071970,"LISS, DENNIS",FOIA 15-6588,2016-01-12
1071970,"MONTE, GRANT",FOIA 15-6588,2016-01-12
1071896,"AMELIO, PAUL",FOIA 15-6588,2016-01-12
1071896,"KULBIDA, EDWARD",FOIA 15-6588,2016-01-12
1071896,"MILLER, JACK",FOIA 15-6588,2016-01-12
1071896,"PFEIFFER, MICHAEL",FOIA 15-6588,2016-01-12
1071896,"RUHNKE, ERIK",FOIA 15-6588,2016-01-12
1071896,"VENCES, SERGIO",FOIA 15-6588,2016-01-12
1071608,"MULCAHY, KEVIN",FOIA 15-6588,2016-01-12
1071168,"FLORES, ADRIAN",FOIA 15-6588,2016-01-12
1071168,"HYMA, ROBERT",FOIA 15-6588,2016-01-12
1071168,"O SHEA, MICHAEL",FOIA 15-6588,2016-01-12
1069981,"BURRELL, ROBERT",FOIA 15-6588,2016-01-12
1069981,"CHUDY, JEFFREY",FOIA 15-6588,2016-01-12
1069981,"KOZLOWSKI, MATTHEW",FOIA 15-6588,2016-01-12
1069981,"MONTILLA, OBERRIAN",FOIA 15-6588,2016-01-12
1069721,"DEL PILAR, MELISSA",FOIA 15-6588,2016-01-12
1069721,"KIEDUK, BRIAN",FOIA 15-6588,2016-01-12
1069721,"KOLODZIEJSKI, DANIEL",FOIA 15-6588,2016-01-12
1069721,"LUNA, LOUIS",FOIA 15-6588,2016-01-12
1069721,"ZAIDAN, JENNIFER",FOIA 15-6588,2016-01-12
1069721,"ZAMORA, CARLOS",FOIA 15-6588,2016-01-12
1068271,"PEREZ, JUAN",FOIA 15-6588,2016-01-12
1068101,"COLEMAN, MARVIN",FOIA 15-6588,2016-01-12
1068101,"KENNEDY, JOHN",FOIA 15-6588,2016-01-12
1067572,"LARA, ABRAHAM",FOIA 15-6588,2016-01-12
1066725,"FLAHERTY, KENNETH",FOIA 15-6588,2016-01-12
1066725,"HABIAK JR, GUY",FOIA 15-6588,2016-01-12
1066725,"MORLOCK, JONATHAN",FOIA 15-6588,2016-01-12
1065714,"MURRAH, CHRISTOPH",FOIA 15-6588,2016-01-12
1065582,"DE LA HUERTA, ROY",FOIA 15-6588,2016-01-12
1063442,"BOTTOM, SEAN",FOIA 15-6588,2016-01-12
1063442,"DEJATIVONG, TAHCH",FOIA 15-6588,2016-01-12
1063442,"FETZER, JOHN",FOIA 15-6588,2016-01-12
1063442,"FIETKO, DAVID",FOIA 15-6588,2016-01-12
1063442,"HAMILTON, THOMAS",FOIA 15-6588,2016-01-12
1063442,"MARINO, STEVE",FOIA 15-6588,2016-01-12
1063442,"MEURIS, MARY ELLE",FOIA 15-6588,2016-01-12
1063442,"SAWICKI, STEVEN",FOIA 15-6588,2016-01-12
1063442,"SCHIELD, WILLIAM",FOIA 15-6588,2016-01-12
1063442,"SHEEHY, DANIEL",FOIA 15-6588,2016-01-12
1063442,"SHELTON, DANA",FOIA 15-6588,2016-01-12
1063442,"TABB, TABITHA",FOIA 15-6588,2016-01-12
1061883,"KALICKI, STANLEY",FOIA 15-6588,2016-01-12
1061883,"KALICKI, STANLEY",FOIA 15-6588,2016-01-12
1058573,"LULE, JOSE",FOIA 15-6588,2016-01-12
1058573,"SOLNER, DENNIS",FOIA 15-6588,2016-01-12
1058420,"MC DEVITT, MICHAEL",FOIA 15-6588,2016-01-12
1058420,"TOTH, LOU",FOIA 15-6588,2016-01-12
1058279,"BRUNO, ANTHONY",FOIA 15-6588,2016-01-12
1058279,"RAZO, VICTOR",FOIA 15-6588,2016-01-12
1058279,"SLEDGE, EUGENE",FOIA 15-6588,2016-01-12
1058077,"PEREZ, VICKY",FOIA 15-6588,2016-01-12
1057079,"HUBERTS JR, DENNIS",FOIA 15-6588,2016-01-12
1056520,"CHRISTENSEN, AMY",FOIA 15-6588,2016-01-12
1056520,"LAWSON, JEFFREY",FOIA 15-6588,2016-01-12
1056520,"MASON, HAROLD",FOIA 15-6588,2016-01-12
1056520,"WILLIAMS, CHRISTOPH",FOIA 15-6588,2016-01-12
1052578,"DURAN, JUAN",FOIA 15-6588,2016-01-12
1052578,"HOLMES, MICHAEL",FOIA 15-6588,2016-01-12
1052578,"MILLIGAN, DAVID",FOIA 15-6588,2016-01-12
1035057,"DUGGAN, TIMOTHY",FOIA 15-6588,2016-01-12
1035057,"RENTNER, ROBERT",FOIA 15-6588,2016-01-12
1035057,"WYROBA, ALBERT",FOIA 15-6588,2016-01-12
1027884,"BRADY, JESSICA",FOIA 15-6588,2016-01-12
1027884,"PANOTHIOCAS, GEORGE",FOIA 15-6588,2016-01-12
1001651,"MOSS, JOHN",FOIA 15-6588,2016-01-12
1000343,"DE VRIES, DUANE",FOIA 15-6588,2016-01-12
1000343,"PLEBANSKI, DAVID",FOIA 15-6588,2016-01-12
1076963,,FOIA 15-6588,2016-01-12
1072859,"BURKE, KEVIN",FOIA 15-6588,2016-01-12
1072859,"DOUGHERTY, EDWARD",FOIA 15-6588,2016-01-12
1072859,"HALPIN, JAMES",FOIA 15-6588,2016-01-12
1072859,"HAVELKA, JEFFERY",FOIA 15-6588,2016-01-12
1072859,"THIRY, PATRICK",FOIA 15-6588,2016-01-12
1078099,"MURPHY, WILLIAM",FOIA 15-6588,2016-01-12
1077848,"BROWN, STEFAN",FOIA 15-6588,2016-01-12
1077087,"RODRIGUEZ, FERNANDO",FOIA 15-6588,2016-01-12
1076544,"ZEPEDA, ADRIAN",FOIA 15-6588,2016-01-12
1076349,"BLACKMAN, DANIEL",FOIA 15-6588,2016-01-12
1076349,"DRISH, JAMES",FOIA 15-6588,2016-01-12
1076191,"THEODORE, PETER",FOIA 15-6588,2016-01-12
1073091,"VEGA, GERARDO",FOIA 15-6588,2016-01-12
1072911,"CAMACHO, CARMELO",FOIA 15-6588,2016-01-12
1072638,"WHITE, KEVIN",FOIA 15-6588,2016-01-12
1072574,"MAYER, MARK",FOIA 15-6588,2016-01-12
1071894,"AMELIO, PAUL",FOIA 15-6588,2016-01-12
1071894,"KULBIDA, EDWARD",FOIA 15-6588,2016-01-12
1071894,"VENCES, SERGIO",FOIA 15-6588,2016-01-12
1071348,"MAYER, MARK",FOIA 15-6588,2016-01-12
1070748,"PEOPLES JR, WILLIE",FOIA 15-6588,2016-01-12
1068139,"HILLIARD, MATTHEW",FOIA 15-6588,2016-01-12
1068025,"WASHINGTON, ANTHONY",FOIA 15-6588,2016-01-12
1067268,"LUNA, JAIME",FOIA 15-6588,2016-01-12
1067268,"MAROZAS, MICHAEL",FOIA 15-6588,2016-01-12
1062843,"NUNEZ, GLORIA",FOIA 15-6588,2016-01-12
1062177,"PFEIFFER, MICHAEL",FOIA 15-6588,2016-01-12
1060585,"MESECK, JACK",FOIA 15-6588,2016-01-12
1059475,"BIALOTA, RONALD",FOIA 15-6588,2016-01-12
1059475,"DESAI, RISHI",FOIA 15-6588,2016-01-12
1059475,"DOYLE, EILEEN",FOIA 15-6588,2016-01-12
1059475,"HALLORAN, BRIAN",FOIA 15-6588,2016-01-12
1059475,"MARASIGAN, ELIZABETH",FOIA 15-6588,2016-01-12
1059475,"OCAMPO, SHAIKA",FOIA 15-6588,2016-01-12
1059236,"GONZALEZ, ERIC",FOIA 15-6588,2016-01-12
1059236,"TONER, JOSEPH",FOIA 15-6588,2016-01-12
1058942,"DAVIS, ERROLL",FOIA 15-6588,2016-01-12
1058942,"JOHNSEN, DAVID",FOIA 15-6588,2016-01-12
1057383,"WARNER JR, JEROME",FOIA 15-6588,2016-01-12
1055434,"ARCILLAS, PATRICK",FOIA 15-6588,2016-01-12
1055434,"COLEMAN, MARVIN",FOIA 15-6588,2016-01-12
1051532,"STAUNTON, MARTIN",FOIA 15-6588,2016-01-12
1044798,"MC NAUGHTON, DAVID",FOIA 15-6588,2016-01-12
1036478,"KINNEY, PATRICK",FOIA 15-6588,2016-01-12
1035581,"RIGAN, KRISTOPHE",FOIA 15-6588,2016-01-12
1032418,"DAVIS, CHRISTOPH",FOIA 15-6588,2016-01-12
1032418,"VAVAL, YASMINA",FOIA 15-6588,2016-01-12
1032320,"HEINEN, MATTHEW",FOIA 15-6588,2016-01-12
1027910,"FOERTSCH, JOHN",FOIA 15-6588,2016-01-12
1027910,"GARCIA, EDGAR",FOIA 15-6588,2016-01-12
1026826,"PINAL, ROGELIO",FOIA 15-6588,2016-01-12
1026826,"RODRIGUEZ, RONALD",FOIA 15-6588,2016-01-12
