,,,,
Field Name,Table,Explanation,# non-null rows,# rows with distinct TRR ID
POGNDR,Sheet1,Gender (Sex) of the involved officer.,"67,019",
PORACE,Sheet1,Race of the involved officer.,"67,019",
POAGE,Sheet1,Age of the involved officer.,"67,019",
APPOINTED_DATE,Sheet1,Date of Appointment of the involved officer.,"67,019",
UNITASSG,Sheet1,Unit Assignment of the involved officer.,"67,019",
UNITDETAIL,Sheet1,Unit Detail of the involved officer.,"8,146",
ASSGNBEAT,Sheet1,Assigned Beat of the involved officer.,"65,692",
RANK,Sheet1,Rank of the involved officer.,"67,019",
DUTYSTATUS,Sheet1,Whether the involved officer was on duty. Y/N,"67,019",
POINJURED,Sheet1,Whether the involved officer was injured. Y/N,"67,019",
MEMBER_IN_UNIFORM,Sheet1,Whether the involved officer was in uniform. Y/N,"67,019",
SUBGNDR,Sheet1,Gender (Sex) of the involved officer.,"66,961",
SUBRACE,Sheet1,Race of the subject.,"66,300",
SUBAGE,Sheet1,Age of the subject.,"67,019",
SUBYEARDOB,Sheet1,Year of Birth of the subject.,"67,019",
SUBJECT_ARMED,Sheet1,,"66,955",
SUBJECT_INJURED,Sheet1,,"66,945",
SUBJECT_ALLEGED_INJURY,Sheet1,,"66,939",
TRR REPORT ID (Star .),Star .,,,
LAST NME (Star .),Star .,,,
FIRST NME (Star .),Star .,,,
Cpd Star No,Star .,,,
TRR REPORT ID (Statuses!OtherMembers),Statuses!OtherMembers,,,
Status,Statuses!OtherMembers,,,
Statdatetime,Statuses!OtherMembers,,,
First Nme,Statuses!OtherMembers,,,
Last Nme,Statuses!OtherMembers,,,
Star,Statuses!OtherMembers,,,
RANK (Statuses!OtherMembers),Statuses!OtherMembers,,,
SEX,Statuses!OtherMembers,,,
Memberrace,Statuses!OtherMembers,,,
Memberage,Statuses!OtherMembers,,,
APPOINTED DATE (Statuses!OtherMembers),Statuses!OtherMembers,,,
TRR REPORT ID (SubjectWeapons),SubjectWeapons,,,
Weapon Type,SubjectWeapons,,,
Firearm Caliber,SubjectWeapons,,,
Weapon Description,SubjectWeapons,,,
TRR REPORT ID (WeaponDischarges),WeaponDischarges,,,
WEAPON TYPE (WeaponDischarges),WeaponDischarges,,,
Weapon Type Descr,WeaponDischarges,,,
Firearm Make,WeaponDischarges,,,
Firearm Model,WeaponDischarges,,,
Firearm Barrel Length,WeaponDischarges,,,
FIREARM CALIBER (WeaponDischarges),WeaponDischarges,,,
Total Number Of Shots,WeaponDischarges,,,
Firearm Reloaded,WeaponDischarges,,,
Number Of Catdridge Reloaded,WeaponDischarges,,,
Handgun Worn Type,WeaponDischarges,,,
Handgun Drawn Type,WeaponDischarges,,,
Method Used To Reload,WeaponDischarges,,,
Sight Used,WeaponDischarges,,,
Protective Cover Used,WeaponDischarges,,,
Discharge Distance,WeaponDischarges,,,
Object Struck Of Discharge,WeaponDischarges,,,
Discharge Position,WeaponDischarges,,,
Complaint Number,June Complaints,,,
Beat,June Complaints,,,
Location Code,June Complaints,,,
Address,June Complaints,,,
Street,June Complaints,,,
Apartment,June Complaints,,,
City State Zipcode,June Complaints,,,
Incident Datetime,June Complaints,,,
Complaint Date,June Complaints,,,
Closed Date,June Complaints,,,
Investigator Name,June Complaints,,,
Investigator Current Assignment,June Complaints,,,
Investigator Rank,June Complaints,,,
Investigator Star,June Complaints,,,
Investigator Appointed Date,June Complaints,,,
Accused Name,June Complaints,,,
Accused Birth Yr,June Complaints,,,
Accused Gender,June Complaints,,,
Accused Race Code,June Complaints,,,
Accused Date of Appt,June Complaints,,,
Accused Current Unit,June Complaints,,,
Accused Current Rank,June Complaints,,,
Accused Star,June Complaints,,,
Accused Complaint Category,June Complaints,,,
Accused Finding,June Complaints,,,
Accused Recommended Discipline,June Complaints,,,
Accused Final Finding,June Complaints,,,
Accused Discipline,June Complaints,,,
PO Witness Name,June Complaints,,,
PO Witness Gender,June Complaints,,,
PO Witness Race,June Complaints,,,
PO Witness Star,June Complaints,,,
PO Witness Birth Year,June Complaints,,,
PO Witness Date Appointed,June Complaints,,,
Victim Gender,June Complaints,,,
Victim Age,June Complaints,,,
Victim Race Desc,June Complaints,,,
Complainant Gender,June Complaints,,,
Complainant Age,June Complaints,,,
Complainant Race Desc,June Complaints,,,
