Unit No.,Unit Description,Status
115,OFFICE OF CRIME CONTROL STRATEGIES,Y
116,DEPLOYMENT OPERATIONS CENTER,Y
117,OFFICE OF ASSISTANT SUPT. ADMINISTRATION,N
118,CHAPLAINS SECTION,Y
119,OFFICE OF INTERNATIONAL RELATIONS,N
120,BUREAU OF SUPPORT SERVICES,Y
121,BUREAU OF INTERNAL AFFAIRS,Y
122,FINANCE DIVISION,Y
123,HUMAN RESOURCES DIVISION,Y
124,EDUCATION AND TRAINING DIVISION,Y
125,INFORMATION SERVICES DIVISION,Y
126,INSPECTION DIVISION,Y
127,RESEARCH AND DEVELOPMENT DIVISION,Y
128,PROFESSIONAL COUNSELING DIVISION,Y
129,MANAGEMENT AND LABOR AFFAIRS SECTION Υ
130,BUREAU OF ORGANIZATIONAL DEVELOPMENT,N
130,BUREAU OF STAFF SERVICES,N
130,TECHNOLOGY AND RECORDS GROUP,Y
131,DOMESTIC VIOLENCE OFFICE,N
132,PREVEN & NEIGH DIV,N
133,INFORMATION AND STRATEGIC SERVICES,Y
134,FIELD TECHNOLOGY TRAINING UNIT,N
135,CHICAGO ALTERNATIVE POLICING STRATEGY (CAPS) DIVISION,Y
136,CAPS,N
136,SPECIAL EVENTS UNIT,Y
137,OFFICE OF COMPLIANCE,N
138,CAPS,N
138,FIELD MONITORING UNIT,N
139,ASST SUPERINTENDENT - LAW ENFORCEMENT OPERATIONS,N
139,CAPS,N
140,OFFICE OF THE FIRST DEPUTY SUPERINTENDENT,Y
141,SPECIAL FUNCTIONS DIVISION,Y
142,BUREAU OF PATROL,Y
143,COURT SECTION,N
143,DISTRICT LAW,N
144,COURT SECTION,N
144,O'HARE LAW ENFORCE,N
145,TRAFFIC SECTION,Y
146,CANINE UNIT,N
146,MAJOR ACCIDENT INV,N
147,SENIOR CITIZEN SERVICES,N
148,TRAFFIC COURT UNIT,Y
151,TRAFFIC ENFORCEMENT,N
152,LOOP TRAFFIC UNIT,N
153,MOBILE STRIKE FORCE,N
153,SPECIAL FUNCTIONS SUPPORT UNIT,Y
154,TRAFFIC SAFETY AND TRAINING,N
156,GANG CRIME SECTION,N
157,PUB HOUSING DIV ADM,N
159,GUN REGISTRATION,N
160,FACILITIES MANAGEMENT,N
161,GENERAL SUPPORT DIVISION,Y
162,RECORDS DIVISION,Y
163,RECORDS INQUIRY SECTION,Y
164,RECORDS PROCESSING SECTION,N
165,FIELD INQUIRY SECTION
166,FIELD SERVICES SECTION
167,EVIDENCE AND RECOVERED PROPERTY SECTION,Y
168,AUTO POUND SECTION,Y
169,POLICE DOCUMENTS SECTION,Y
170,CT & ID ADMINISTRATION,N
171,CENTRAL DETENTION UNIT,Y
172,EQUIPMENT AND SUPPLY SECTION,Y
173,FLEET LIAISON SECTION,Y
174,ELECTRIC AND MOTOR MAINTENANCE,N
175,TELECOMMUNICATIONS UNIT,N
176,COMMUNICATION OPERATIONS UNIT,N
177,FORENSIC SERVICES  DIVISION,Y
178,FACILITIES MANAGEMENT DIVISION,Y
179,REPRODUCTION AND GRAPHIC ARTS SECTION,Y
180,BUREAU OF DETECTIVES,Y
184,YOUTH INVESTIGATION DIVISION,Y
187,CRIMINAL REGISTRATION UNIT,Y
188,BUREAU OF ORGANIZED CRIME,Y
189,NARCOTICS DIVISION,Y
190,HOMAN SQUARE ARREST PROCESSING,Y
191,INTELLIGENCE SECTION,Y
192,VICE & ASSET FORFEITURE DIVISION,Υ
193,GANG INVESTIGATION DIVISION,Y
195,MANAGEMENT AND ACCOUNTABILITY,N
196,ASSE FORFEITURE SECTION,Y
211,BUREAU OF PATROL - AREA CENTRAL,Y
212,BUREAU OF PATROL - AREA SOUTH,Y
213,BUREAU OF PATROL - AREA NORTH,Y
214,DEPUTY CHIEF - AREA 4,N
214,FREEDOM OF INFORMATION SECTION,Y
215,DEPUTY CHIEF - AREA 5,N
216,DEPUTY CHIEF CENTRAL CONTROL GROUP,N
222,TIMEKEEPING UNIT - HEADQUARTERS,Y
231,MEDICAL SECTION,Y
241,TROUBLED BUILDING SECTION,Y
242,FLEET SECTION,Y
251,CRIME LAB FED GRANT,N
253,TARGETED RESPONSE UNIT,N
261,COURT SECTION,Y
263,JUVENILE COURT UNIT,Y
276,OEC - DETAIL SECTION,Y
277,FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,Y
284,ADMIN SCHOOL SECURIT,N
311,GANG ENFORCEMENT - AREA CENTRAL,Y
312,GANG ENFORCEMENT - AREA SOUTH,Y
313,GANG ENFORCEMENT - AREA NORTH,Y
314,GANG SECTION - AREA 4,N
315,GANG SECTION - AREA 5,N
341,CANINE UNIT,Y
353,SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,Y
376,ALTERNATE RESPONSE SECTION,Y
377,FORENSIC SERVICES UNIT ET NORTH,N
384,JUVENILE INTERVENTION SUPPORT CENTER (JISC),Y
393,GANG ENFORCEMENT DIVISION,Y
411,AREA CENTRAL DEPUTY CHIEF - BUREAU OF PATROL,Y
412,AREA SOUTH DEPUTY CHIEF - BUREAU OF PATROL,Y
413,AREA NORTH DEPUTY CHIEF - BUREAU OF PATROL,Y
427,DOMESTIC VIOL ADVOC,N
441,SPECIAL ACTIVITIES SECTION,Y
442,BOMB SQUAD,Y
443,BOMB UNIT - O'HARE AIRPORT,N
477,FORENSIC SERVICES UNIT - ET SOUTH,N
541,FOP DETAIL,Y
542,DETACHED SERVICES - GOVERMENT SECURITY,Y
543,DETACHED SERVICES - MISCELLANEOUS DETAIL,Y
544,CHG PTL CREDT UNION,N
545,PBPA SERGEANT,Y
547,CHICAGO POLICE MEMORIAL FOUNDATION,Y
549,INSPECTOR GENERAL DETAIL UNIT,Y
601,DET DIV ADMIN.,N
602,CENTRAL AUTO THEFT,N
603,ARSON SECTION,Y
603,BOMB AND ARSON DIVISION Ν
604,BOMB AND ARSON SECTION - O'HARE AIRPORT,N
605,FBI VIOLENT CRIMES TASK FORCE,N
606,CENTRAL INVESTIGATIONS DIVISION,Y
607,COLD CASE UNIT,N
608,MAJOR ACCIDENT INVESTIGATION UNIT,Y
609,FINANCIAL CRIMES INVESTIGATION UNIT,N
610,DETECTIVE AREA - CENTRAL,Y
611,PREDICTIVE ANALYTICS GROUP,N
611,PROP CRIMES DD AREA1,N
612,VIOLENT CRIMES DDA 1,N
620,DETECTIVE AREA - SOUTH,Y
621,PROP CRIMES DDA2,N
622,VIOLENT CRIMES DDA 2,N
630,DETECTIVE AREA - NORTH,Y
631,PROP CRIMES DDA 3,N
632,VIOLENT CRIMES DDA 3,N
640,DETECTIVE SECTION - AREA 4,N
641,PROP CRIMES DDA 4,N
642,VIOLENT CRIMES DDA 4,N
650,DETECTIVE SECTION - AREA 5,N
651,PROP CRIMES DDA 5,N
652,VIOLENT CRIME DDA 5,N
660,UNKNOWN,N
701,PUBLIC TRANSPORTATION SECTION,Y
702,CTA SECURITY UNIT Υ
703,SUMMER MOBILE FORCE,N
704,TRANSIT SECURITY UNIT,Y
710,G/C UNIT SOUTH,N
711,VIOLENCE REDUCTION INITIATIVE NORTH,Y
712,VIOLENCE REDUCTION INITIATIVE SOUTH,Y
715,PUBLIC HOUSING SOUTH,N
716,CHA COMMUNITY POLICING – SOUTH Ν
740,G/C UNIT WEST,N
760,G/C UNIT NORTH,N
765,PUBLIC HOUSING NORTH,N
766,CHA COMMUNITY POLICING - NORTH,N
911,UNKNOWN,N
912,UNKNOWN,N
932,PATROL AREA 2,N
944,COPS GRANT RECR TRNG,N
990,MAINT ONLY OMI,N
