COMPLAINT_NUMBER,MEDIA_FILE_TYPE,IPRA_PORTAL_LABEL,IPRA_URL
1045673,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/273860672&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1045673,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/273860674&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1045673,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/273860682&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1045673,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/273860689&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1045673,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/273860694&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1045673,DOCUMENT,Arrest Report (Jacobs),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/Arrest-Report-Jacobs-REDACTED.pdf
1045673,DOCUMENT,Arrest Report (May),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/Arrest-Report-May-REDACTED.pdf
1045673,DOCUMENT,Original Case Incident Report - 1 of 2,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/OCIR-2-REDACTED-1.pdf
1045673,DOCUMENT,Original Case Incident Report - 2 of 2,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/OCIR-REDACTED-6.pdf
1045673,DOCUMENT,Officer's Battery Report (Bracken),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/OBR-Bracken-REDACTED.pdf
1045673,DOCUMENT,Tactical Response Report (Aguirre),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/TRR-Aguirre.pdf
1045673,DOCUMENT,Tactical Response Report (Bracken),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/TRR-Bracken.pdf
1045673,DOCUMENT,Tactical Response Report (McBermott),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/TRR-McDermott.pdf
1045673,DOCUMENT,Tactical Response Report (Ortiz),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/TRR-Ortiz.pdf
1045673,DOCUMENT,Tactical Response Report (Tottas),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/TRR-Tottas-1.pdf
1045673,DOCUMENT,Tactical Response Report (Vera),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/07/TRR-Vera.pdf
1045950,VIDEO,WARNING: GRAPHIC CONTENT.  Incident begins at approximately 1 minute and 54 seconds into the video.,https://player.vimeo.com/video/166081998
1045950,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263441885&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1045950,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263441883&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1045950,DOCUMENT,Original Case Incident Report 1 of 5,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1045950-CHI-R-00000112.pdf
1045950,DOCUMENT,Original Case Incident Report 2 of 5,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1045950-CHI-R-00000113.pdf
1045950,DOCUMENT,Original Case Incident Report 3 of 5,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1045950-CHI-R-00000114.pdf
1045950,DOCUMENT,Original Case Incident Report 4 of 5,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1045950-CHI-R-00000115.pdf
1045950,DOCUMENT,Original Case Incident Report 5 of 5,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1045950-CHI-R-00000116.pdf
1045950,DOCUMENT,Officer's Battery Report (Sierra),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1045950-CHI-R-00000111.pdf
1045950,DOCUMENT,Tactical Response Report (Sierra),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1045950-CHI-R-00000117.pdf
1049286,VIDEO,Video Clip,https://player.vimeo.com/video/166888452
1049286,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463961&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1049286,DOCUMENT,Arrest Report (Herron),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1049286-CHI-R-00000118.pdf
1049286,DOCUMENT,Arrest Report (Neil),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1049286-CHI-R-00000119.pdf
1049286,DOCUMENT,Officer's Battery Report (Rentner),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1049286-CHI-R-00000121.pdf
1049286,DOCUMENT,Officer's Battery Report (Kroll),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1049286-CHI-R-00000120.pdf
1049286,DOCUMENT,Tactical Response Report (Rentner),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1049286-CHI-R-00000125.pdf
1049286,DOCUMENT,Tactical Response Report (Kroll),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1049286-CHI-R-00000124.pdf
1049286,DOCUMENT,Original Case Incident Report,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1049286-CHI-R-00000123.pdf
1050919,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463697&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1050919,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463688&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1050919,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463680&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1050919,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463677&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1050919,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463667&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1050919,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262464339&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1050919,DOCUMENT,Original Case Incident Report 1 of 2,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1050919-CHI-R-00000161.pdf
1050919,DOCUMENT,Original Case Incident Report 2 of 2,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1050919-OCIR-2-of-2.pdf
1050919,DOCUMENT,Officer's Battery Report (Belmontes),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1050919-CHI-R-00000157.pdf
1050919,DOCUMENT,Officer's Battery Report (Cabral),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1050919-CHI-R-00000158.pdf
1050919,DOCUMENT,Officer's Battery Report (Hernandez),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1050919-CHI-R-00000159.pdf
1050919,DOCUMENT,Tactical Response Report (Belmontes),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1050919-CHI-R-00000162.pdf
1050919,DOCUMENT,Tactical Response Report (Cabral),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/CHI-R-00000163.pdf
1050919,DOCUMENT,Tactical Response Report (Hernandez),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/CHI-R-00000164.pdf
1052578,VIDEO,Incident begins approximately 4 minutes and 20 seconds into this video.,https://player.vimeo.com/video/166088319
1052578,VIDEO,Incident begins approximately 33 minutes and 30 seconds into this video.,https://player.vimeo.com/video/166088316
1052578,VIDEO,Incident begins approximately 33 minutes and 30 second into this video.,https://player.vimeo.com/video/166088317
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263446960&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263446969&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263446977&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449851&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449854&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449863&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449885&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449892&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449897&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449904&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449908&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449914&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449918&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263449851&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263451741&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/263451605&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052578,DOCUMENT,Arrest Report (Carter),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000169.pdf
1052578,DOCUMENT,Arrest Report (Cole),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000170.pdf
1052578,DOCUMENT,Arrest Report (Young),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000171.pdf
1052578,DOCUMENT,Original Case Incident Report,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000177.pdf
1052578,DOCUMENT,Officer's Battery Report (Cifuentes),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000172.pdf
1052578,DOCUMENT,Officer's Battery Report (Jones),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000173.pdf
1052578,DOCUMENT,Officer's Battery Report (Petrenko),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000174.pdf
1052578,DOCUMENT,Officer's Battery Report (Ruiz),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000175.pdf
1052578,DOCUMENT,Officer's Battery Report (Torres),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000176.pdf
1052578,DOCUMENT,Tactical Response Report (Carter),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000180.pdf
1052578,DOCUMENT,Tactical Response Report (Cifuentes),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000178.pdf
1052578,DOCUMENT,Tactical Response Report (Jones),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000179.pdf
1052578,DOCUMENT,Tactical Response Report (Ruiz),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000181.pdf
1052578,DOCUMENT,Tactical Response Report (Torres),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052578-CHI-R-00000182.pdf
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463660&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463653&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463650&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463644&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262611630&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463627&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463622&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463618&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463616&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463611&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,AUDIO,Audio Clip,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/262463603&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true
1052816,DOCUMENT,Arrest Report (Purnell),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/CHI-R-00000203.pdf
1052816,DOCUMENT,Original Case Incident Report 1 of 2,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052816-CHI-R-00000206.pdf
1052816,DOCUMENT,Original Case Incident Report 2 of 2,http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/CHI-R-00000207.pdf
1052816,DOCUMENT,Officer's Battery Report (McGrone),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052816-CHI-R-00000204.pdf
1052816,DOCUMENT,Officer's Battery Report (Meeks),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052816-CHI-R-00000205.pdf
1052816,DOCUMENT,Tactical Response Report (McGrone),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/Log1052816-CHI-R-00000208.pdf
1052816,DOCUMENT,Tactical Response Report (Meeks),http://2z8fvv370p61pvio021qkw2x.wpengine.netdna-cdn.com/wp-content/uploads/2016/05/CHI-R-00000209.pdf
1053667,VIDEO,Incident begins approximately 20 minutes into this video.,https://player.vimeo.com/video/166274573
1053667,VIDEO,Incident begins approximately 3 minutes and 50 seconds into this video.,https://player.vimeo.com/video/166265290
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166265355
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273269
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273271
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273280
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273272
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273275
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273274
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273277
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273283
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273284
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273285
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273290
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273289
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273286
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274574
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273293
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273296
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273297
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273298
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273299
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273302
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273301
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273304
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273305
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166273307
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274687
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274688
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274689
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274692
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274694
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274693
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274695
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274696
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274699
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274698
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274701
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274769
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274773
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274777
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274779
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274787
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274790
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274796
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274793
1053667,VIDEO,Video Clip,https://player.vimeo.com/video/166274798
