Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
p046957 - report 1.2 - all complaints in time frame.xls,Investigator_Full_Name,23714,1749,object
p046957 - report 1.2 - all complaints in time frame.xls,Investigator_Assignment,23714,123,object
p046957 - report 1.2 - all complaints in time frame.xls,Investigator_Rank,23714,51,object
p046957 - report 1.2 - all complaints in time frame.xls,Investigator_Star,8962,655,float64
p046957 - report 1.2 - all complaints in time frame.xls,Investigator_Appt_Date,25133,279,object
p046957 - report 1.2 - all complaints in time frame.xls,FOIA_Request_Number,25223,1,object
p046957 - report 1.3 - all complaints in time frame.xls,CRID,22896,21803,int64
p046957 - report 1.3 - all complaints in time frame.xls,Beat,22844,296,object
p046957 - report 1.3 - all complaints in time frame.xls,Location_Code,22895,24,object
p046957 - report 1.3 - all complaints in time frame.xls,Location_Value,22432,20,object
p046957 - report 1.3 - all complaints in time frame.xls,Address_of_Incident,22896,11821,object
p046957 - report 1.3 - all complaints in time frame.xls,City,22896,142,object
p046957 - report 1.3 - all complaints in time frame.xls,State,18319,22,object
p046957 - report 1.3 - all complaints in time frame.xls,Zip,5201,105,object
p046957 - report 1.3 - all complaints in time frame.xls,Incident_Date,22896,15061,datetime64[ns]
p046957 - report 1.3 - all complaints in time frame.xls,Complaint_Date,22896,1382,datetime64[ns]
p046957 - report 1.3 - all complaints in time frame.xls,Closed_Date,22750,1353,datetime64[ns]
p046957 - report 1.3 - all complaints in time frame.xls,Investigator_Full_Name,21759,1617,object
p046957 - report 1.3 - all complaints in time frame.xls,Investigator_Assignment,21755,117,object
p046957 - report 1.3 - all complaints in time frame.xls,Investigator_Rank,21759,32,object
p046957 - report 1.3 - all complaints in time frame.xls,Investigator_Star,9757,797,float64
p046957 - report 1.3 - all complaints in time frame.xls,Investigator_Appt_Date,22652,242,object
p046957 - report 1.3 - all complaints in time frame.xls,FOIA_Request_Number,22896,1,object
p046957 - report 1.4 - all complaints in time frame.xls,CRID,22896,21803,int64
p046957 - report 1.4 - all complaints in time frame.xls,Beat,22844,296,object
p046957 - report 1.4 - all complaints in time frame.xls,Location_Code,22895,24,object
p046957 - report 1.4 - all complaints in time frame.xls,Location_Value,22432,20,object
p046957 - report 1.4 - all complaints in time frame.xls,Address_of_Incident,22896,11821,object
p046957 - report 1.4 - all complaints in time frame.xls,City,22896,142,object
p046957 - report 1.4 - all complaints in time frame.xls,State,18319,22,object
p046957 - report 1.4 - all complaints in time frame.xls,Zip,5201,105,object
p046957 - report 1.4 - all complaints in time frame.xls,Incident_Date,22896,15061,datetime64[ns]
p046957 - report 1.4 - all complaints in time frame.xls,Complaint_Date,22896,1382,datetime64[ns]
p046957 - report 1.4 - all complaints in time frame.xls,Closed_Date,22750,1353,datetime64[ns]
p046957 - report 1.4 - all complaints in time frame.xls,Investigator_Full_Name,21759,1617,object
p046957 - report 1.4 - all complaints in time frame.xls,Investigator_Assignment,21755,117,object
p046957 - report 1.4 - all complaints in time frame.xls,Investigator_Rank,21759,32,object
p046957 - report 1.4 - all complaints in time frame.xls,Investigator_Star,9757,797,float64
p046957 - report 1.4 - all complaints in time frame.xls,Investigator_Appt_Date,22652,242,object
p046957 - report 1.4 - all complaints in time frame.xls,FOIA_Request_Number,22896,1,object
p046957 - report 1.5 - all complaints in time frame.xls,CRID,18151,17353,int64
p046957 - report 1.5 - all complaints in time frame.xls,Beat,18075,306,object
p046957 - report 1.5 - all complaints in time frame.xls,Location_Code,18149,24,object
p046957 - report 1.5 - all complaints in time frame.xls,Location_Value,17788,20,object
p046957 - report 1.5 - all complaints in time frame.xls,Address_of_Incident,18151,9379,object
p046957 - report 1.5 - all complaints in time frame.xls,City,18151,125,object
p046957 - report 1.5 - all complaints in time frame.xls,State,14154,22,object
p046957 - report 1.5 - all complaints in time frame.xls,Zip,6864,110,object
p046957 - report 1.5 - all complaints in time frame.xls,Incident_Date,18151,12116,datetime64[ns]
p046957 - report 1.5 - all complaints in time frame.xls,Complaint_Date,18151,1332,datetime64[ns]
p046957 - report 1.5 - all complaints in time frame.xls,Closed_Date,17996,1166,datetime64[ns]
p046957 - report 1.5 - all complaints in time frame.xls,Investigator_Full_Name,17263,1378,object
p046957 - report 1.5 - all complaints in time frame.xls,Investigator_Assignment,17235,106,object
p046957 - report 1.5 - all complaints in time frame.xls,Investigator_Rank,17263,28,object
p046957 - report 1.5 - all complaints in time frame.xls,Investigator_Star,8380,774,float64
p046957 - report 1.5 - all complaints in time frame.xls,Investigator_Appt_Date,16760,220,object
p046957 - report 1.5 - all complaints in time frame.xls,FOIA_Request_Number,18151,1,object
p046957 - report 1.6 - all complaints in time frame.xls,CRID,19215,18609,int64
p046957 - report 1.6 - all complaints in time frame.xls,Beat,19011,290,object
p046957 - report 1.6 - all complaints in time frame.xls,Location_Code,19213,23,object
p046957 - report 1.6 - all complaints in time frame.xls,Location_Value,18756,20,object
p046957 - report 1.6 - all complaints in time frame.xls,Address_of_Incident,19215,9771,object
p046957 - report 1.6 - all complaints in time frame.xls,City,19215,143,object
p046957 - report 1.6 - all complaints in time frame.xls,State,15176,22,object
p046957 - report 1.6 - all complaints in time frame.xls,Zip,8958,135,object
p046957 - report 1.6 - all complaints in time frame.xls,Incident_Date,19215,15510,datetime64[ns]
p046957 - report 1.6 - all complaints in time frame.xls,Complaint_Date,19215,1694,datetime64[ns]
p046957 - report 1.6 - all complaints in time frame.xls,Closed_Date,17541,1093,datetime64[ns]
p046957 - report 1.6 - all complaints in time frame.xls,Investigator_Full_Name,18266,1536,object
p046957 - report 1.6 - all complaints in time frame.xls,Investigator_Assignment,18266,100,object
p046957 - report 1.6 - all complaints in time frame.xls,Investigator_Rank,18266,27,object
p046957 - report 1.6 - all complaints in time frame.xls,Investigator_Star,12665,1205,float64
p046957 - report 1.6 - all complaints in time frame.xls,Investigator_Appt_Date,18225,236,object
p046957 - report 1.6 - all complaints in time frame.xls,FOIA_Request_Number,19215,1,object
